SCPI,Display Name,Gérant,Stratégie,Distribution estimée,TD 2021,TDVM 2020,Part Souscription,Part Retrait,Différentiel souscription / retrait,Valeur de reconstitution,# Min parts Souscription,Montant min Souscription,Délai de jouissance,Frais de gestion,Versement programmé,TOF,TOP,Nombre de locataires,WALB (ans),Souscriptions,Retraits,Indice de liquidité,ISR,Capitalisation,Geographie,Création,Endettement,URL,Versement,Displayable,Featured,Image Link,Allow Direct Debit,Cashback
Elialys,Elialys,Advenis REIM,Bureaux,,"5,01%","4,10%","1 000,00 €","886,00 €","11,40%","1 082,12 €",10,"10 000,00 €",3 mois,12%,Non,"91,82%",NA,NA,NA,5 835,20,Très bon,Non,46 millions €,🇪🇸 Espagne,2019,"32,86%",https://www.advenis-reim.com/scpi-entreprise-elialys,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie08.jpg?alt=media&token=b305db08-ce6a-41d9-bba7-6c01c93333b7,Yes,Oui
Epargne Foncière,Epargne Foncière,La Francaise AM,Bureaux,,"4,40%","4,40%","835,00 €","772,38 €","7,50%","917,82€",1,"835,00 €",3 mois,12%,Oui,"95,20%","91,70%",NA,NA,187 002,37 362,Moyen,Non,5 milliards €,🇫🇷 France,1968,"17,51%",https://www.lafrancaise-am-partenaires.com/Produit/SCPI/FicheProduit/epargne-fonciere#docs,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau04.jpg?alt=media&token=b611f5db-a11d-45ab-9e26-9701f82165ea,Yes,Oui
Epargne Pierre,Epargne Pierre,Atland Voisin,Bureaux,,"5,36%","5,36%","208,00 €","187,20 €","10,00%","224,04 €",10,"2 080,00 €",5 mois,12%,Oui,"95,58%",NA,NA,NA,NA,NA,NA,Oui,2 milliards €,🇫🇷 France,2013,"13,50%",https://atland-voisin.com/scpi/epargne-pierre/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie09.jpg?alt=media&token=b8904020-6bfc-4542-8a20-345fa76b9a5f,Yes,Oui
Epargne Pierre Europe,Epargne Pierre Europe,Atland Voisin,Diversifiée,"5,00%",/,/,"200,00 €","176,00 €","12,00%",/,30,"6 000,00 €",3 mois,12%,Non,/,/,/,/,,/,/,Non,/,🇪🇺 Europe,2022,/,https://atland-voisin.com/scpi/epargne-pierre-europe/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie09.jpg?alt=media&token=b8904020-6bfc-4542-8a20-345fa76b9a5f,Yes,Oui
Epsilon 360,Epsilon 360,Epsilon Capital,Diversifiée,"6,05%",/,/,"250,00 €","237,50 €","5,00%",,4,"1 000,00 €",3 mois,12%,Oui,"100,00%","100,00%",25,NA,30 359,7 928,Moyen,Oui,29 millions €,🇫🇷 France,2021,"32,00%",https://www.epsiloncapital.fr/scpi-epsilon/,Mensuel,TRUE,,,Yes,Oui
Europe Invest,Europe Invest,Sofidy,Diversifiée,"1,91%",/,/,"235,00 €","213,85 €","9,00%","230,36 €",10,"2 350,00 €",3 mois,14%,Non,"97,55%",NA,NA,NA,NA,NA,NA,Oui,158 millions €,🇪🇺 Europe,2021,"4,30%",https://www.sofidy.com/nos-solutions-depargne/sofidy-europe-invest/,Trimestriel,#N/A,,#N/A,Yes,Non
Eurovalys,Eurovalys,Advenis REIM,Bureaux,,"4,74%","4,50%","1 030,00 €","912,58 €","11,40%","1 105,13 €",10,"10 300,00 €",5 mois,12%,Non,"94,51%",NA,NA,NA,44 631,1 533,Bon,Oui,910 millions €,🇩🇪 Allemagne,2015,"33,50%",https://www.advenis-reim.com/scpi-rendement-eurovalys,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie11.jpg?alt=media&token=44ac0c95-726f-49c0-97ea-39738e7d0840,Yes,Oui
Fair Invest,Fair Invest,Norma Capital,Diversifiée,,"4,73%","4,51%","200,00 €","180,00 €","10,00%","215,39 €",5,"1 000,00 €",5 mois,12%,Non,"100,00%","100,00%",26,NA,41 153,0,Très bon,Oui,55 millions €,🇫🇷 France,2018,"0,00%",https://www.normacapital.fr/fonds/fair-invest/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie12.jpg?alt=media&token=1617e246-13fe-4c7a-a0fc-f5394bbacbe1,Yes,Oui
Ficommerce,Ficommerce,Fiducial Gérance,Commerces,,"4,14%","4,13%","230,00 €","207,00 €","10,00%","232,29 €",10,"2 300,00 €",3 mois,"11,16%",Non,"90,71%",,505,NA,7 531,14 888,Mauvais,Non,"673,2 millions €",🇫🇷 France,1986,-,https://www.fiducial-gerance.fr/Nos-SCPI/SCPI-FICOMMERCE-Europe,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie13.jpg?alt=media&token=b8315315-c118-40ab-b362-3108e19fff85,No,Oui
Foncière des Praticiens,Foncière des Praticiens,Foncière Magellan,Santé,,"5,10%","5,10%","1 100,00 €","1 012,00 €","8,00%","1 190,16 €",1,"1 100,00 €",6 mois,"10,20%",Oui,"97,18%",NA,56,NA,"14 949,98",0,Très bon,Oui,"77,9 millions €",🇫🇷 France,2017,,https://www.fonciere-magellan.com/fonciere-des-praticiens,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie19.jpg?alt=media&token=0ef5eb8c-e90c-4579-a295-872157cd5191,Yes,Oui
Genepierre,Genepierre,Amundi,Diversifiée,,"3,84%","3,78%","270,00 €","248,40 €","8,00%","264,11 €",10,"2 700,00 €",3 mois,8%,Oui,"93,58%",NA,55,NA,15 897,NA,Très bon,Non,989 millions €,France et Europe,1978,NA - Ramp up,https://www.amundi-immobilier.com/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_6c891bee-573f-4b6e-8d52-b4d464bbb7dc,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie14.jpg?alt=media&token=cd5ed629-a7a9-472a-ba49-5a663c568d7e,No,Oui
GFI Forecial,GFI Forecial,Fiducial Gérance,Forêts,,/,/,"230,00 €","207,00 €","10,00%",/,5,"1 150,00 €",5 mois,,Non,NC,NC,NC,NC,NA,NA,NA,Non,"6,9 millions €",🇫🇷 France,2022,NA - Ramp up,https://www.fiducial-gerance.fr/FORECIAL-Groupement-Forestier-d-Investissement,Trimestriel,TRUE,,,No,Oui
GMA Essentialis,GMA Essentialis,Greenman Arth,Commerces,,/,/,"200,00 €","180,00 €","10,00%",,5,"1 000,00 €",5 mois,14%,Non,"99,23%","99,67%",6,NA,7 124,0,Très bon,Non,"18,4 millions €",🇫🇷 France,2022,"29,40%",https://www.greenmanarth.com/fr/investissements-fr/,Trimestriel,TRUE,,,No,Oui
Grand Paris Résidentiel,Grand Paris Résidentiels,Inter-Gestion,Résidentiel,"3,50%",,,"200,00 €","176,00 €","12,00%","199,87 €",5,"1 000,00 €",5 mois,12%,Oui,"66,40%","74,03%",51,NA,NA,NA,Très bon,Non,"12,4 millions €",🇫🇷 France,2017,NA - Ramp up,https://www.inter-gestion.com/offre-scpi/grand-paris-residentiels,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fresidentiel03.jpg?alt=media&token=18bb67c4-e048-4aa7-a639-e89e4d6e230f,Yes,Oui
Immorente,Immorente,Sofidy,Diversifiée,,"4,64%","4,42%","340,00 €","306,00 €","10,00%","341,68 €",4,"1 360,00 €",2 mois,12%,Oui,"94,63%",NA,2221,"5,7",NA,NA,Très bon,Non,"3,9 milliards €",France et Europe,1988,"14,80%",https://www.sofidy.com/nos-solutions-depargne/immorente/,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie15.jpg?alt=media&token=98be7998-034b-4bd4-b91f-2f4035de6897,Yes,Oui
Immorente 2,Immorente 2,Sofidy,Commerces,,"3,59%","2,96%","320,00 €","281,60€","12,00%","331,61€",10,"3 200,00 €",2 mois,12%,Oui,"99,20%",NA,148,"5,4",304 990,46 017,Moyen,Non,97 millions €,🇫🇷 France,2021,"32,60%",https://www.sofidy.com/solutions/immorente-2/,Trimestriel,FAUX,,,Yes,Oui
Interpierre Europe Centrale,Interpierre Europe Centrale,Paref Gestion,Bureaux,,"4,60%",/,"250,00 €","225,00 €","10,00%","247,44 €",10,"2 500,00 €",5 mois,"13,20%",Non,"98,30%",NA,12,"4,7",135 592,0,Très bon,Non,"34,4 millions €",🇵🇱 Pologne,2020,"29,00%",https://paref-gestion.com/scpi/interpierre-europe-centrale/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau05.jpg?alt=media&token=175c166c-5768-4abe-8d8b-0e6d9c171d31,Yes,Oui
Interpierre France,Interpierre France,Paref Gestion,Bureaux,,"5,20%","4,71%","1 050,00 €","945,00 €","10,00%","1 063,55 €",5,"5 250,00 €",3 mois,"9,60%",Non,"92,40%",NA,85,"3,36",222 005,375,Très bon,Oui,"233,2 millions €",🇫🇷 France,1991,"17,00%",https://paref-gestion.com/scpi/scpi-immobilier-entreprise-interpierre-france/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie16.jpg?alt=media&token=ad14d0db-87d6-471a-aafa-dc2306cdc8d7,Yes,Oui
Iroko Zen,Iroko Zen,Iroko,Diversifiée,,"7,10%","7,56%","200,00 €","200,00 €","0,00%","207,12 €",25,"5 000,00 €",3 mois,"14,40%",Non,"98,50%","98,82%",NA,"7,4",252 716,375,Bon,Oui,212 millions €,🇫🇷 🇪🇺 France / Europe,2020,"27,40%",https://www.iroko.eu/,Mensuel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie18.jpg?alt=media&token=fc4e7c08-52f9-4c70-b6a1-06b41232594a,Yes,Non
Kyaneos Pierre,Kyaneos Pierre,Kyaneos AM,Résidentiel,,"5,94%","6,10%","1 080,00 €","961,20 €","11,00%","1 123,54 €",10,"10 800,00 €",5 mois,8%,Non,"78,80%",NA,2993,NA,18 810,93,Très bon,Non,197 millions €,🇫🇷 France,2018,"26,00%",https://kyaneosam.com/scpi-kyaneos-pierre/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fresidentiel03.jpg?alt=media&token=f6af1669-d593-4af5-9074-1f876c02369a,No,Oui
Kyaneos Denormandie 3,Kyaneos Denormandie 3,Kyaneos AM,Résidentiel,"3,50%",/,/,"1 000,00 €","880,00 €","12,00%",/,10,"10 000,00 €",5 mois,10%,Non,NA,NA,NA,NA,NA,NA,NA,Oui,NA,🇫🇷 France,2022,NA - Ramp up,https://kyaneosam.com/scpi-kyaneos-denormandie-3/,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fresidentiel01.jpg?alt=media&token=800abbbd-9a12-4909-b76d-c033c5cc8978,No,Oui
LF Avenir Santé,LF Avenir Santé,La Francaise AM,Santé,,/,/,"300,00 €","273,00 €","9,00%",,5,"1 500,00 €",3 mois,12%,Non,"100,00%","100,00%",NA,NA,82 459,0,Très bon,Oui,"83,1 millions €",🇪🇺 Europe,2021,"33,04%",https://www.lafrancaise-am-partenaires.com/Produit/SCPI/FicheProduit/lf-avenir-sante#docs,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie08.jpg?alt=media&token=b305db08-ce6a-41d9-bba7-6c01c93333b7,No,Oui
LF EuropImmo,LF EuropImmo,La Francaise AM,Bureaux,,"4,02%","4,02%","1 045,00 €","961,40 €","8,00%","1 149,62 €",1,"1 045,00 €",5 mois,12%,Oui,"95,60%","94,60%",NA,NA,26 933,6 545,Mauvais,Non,"1,1 milliard €",🇪🇺 Europe,2014,"21,67%",https://www.lafrancaise-am-partenaires.com/Produit/SCPI/FicheProduit/lf-europimmo#docs,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau06.jpg?alt=media&token=cf83bbcd-ae4e-4a73-b7e5-59120fb5ec24,No,Oui
LF Grand Paris Patrimoine,LF Grand Paris Patrimoine,La Francaise AM,Bureaux,,"4,53%","4,41%","310,00 €","285,20 €","8,00%","340,44 €",5,"1 550,00 €",3 mois,12%,Oui,"97,40%","91,60%",NA,NA,137 188,40 725,Mauvais,Oui,"1,4 milliards €",🇫🇷 France,2018,"30,38%",https://www.lafrancaise-am-partenaires.com/Produit/SCPI/FicheProduit/lf-grand-paris-patrimoine,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fbureau07.jpg?alt=media&token=cca9a6ab-03ec-471a-ab7a-02f37a8b4a00,No,Oui
LF Opportunité Immo,LF Opportunité Immo,La Francaise AM,Locaux d'activités,,"5,21%","4,52%","203,00 €","184,73 €","9,00%","224,71 €",5,"1 015,00 €",3 mois,"14,40%",Oui,"96,10%","96,20%",NA,NA,89 642,3 269,Bon,Non,300 millions €,🇫🇷 France,2012,"7,67%",https://www.lafrancaise-am-partenaires.com/Produit/SCPI/FicheProduit/lf-opportunite-immo,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie19.jpg?alt=media&token=0ef5eb8c-e90c-4579-a295-872157cd5191,No,Oui
LOG IN,LOG IN,Theoreim,Logistique,"5,00%",/,/,"250,00 €","225,00 €","10,00%",/,4,"1 000,00 €",5 mois,"12,00%",Non,NA,NA,NA,NA,NA,NA,NA,Non,"13,3 millions €",🇪🇺 Europe,2022,NA - Ramp up,https://theoreim.com/gamme/scpi-login/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Flogistique01.jpg?alt=media&token=0eb48e92-e8a1-41f4-9acb-fd361e1e9db0,Yes,Oui
Logipierre 3,Logipierre 3,Fiducial Gérance,Hôtels,,"3,00%","1,81%","1 600,00 €","1 440,00 €","10,00%","1 681,92 €",5,"8 000,00 €",5 mois,"9,60%",Non,"100,00%","100,00%",6,NA,172,553,Mauvais,Non,"65,7 millions €",🇫🇷 France,1986,NA - Ramp up,https://www.fiducial-gerance.fr/Nos-SCPI/SCPI-LOGIPIERRE-3-Residences-services,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie20.jpg?alt=media&token=85067c8a-dddf-4275-8694-73774de0ef1e,No,Oui
Néo,Novaxia NEO,Novaxia Investissement,Bureaux,,"6,49%","6,00%","187,00 €","187,00 €","0,00%","188,02 €",1,"187,00 €",3 mois,18%,Oui,"96,64%","94,91%",58,NA,306 694,92,Très bon,Oui,"302,7 millions €",🇫🇷 🇪🇺 France / Europe,2018,"25,00%",https://www.novaxia-invest.fr/neo/,Mensuel,TRUE,La + accessible en bureaux,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie21.jpg?alt=media&token=0f5917d6-9856-4a1c-b0ae-81cd96b7d27f,Yes,Non
Notapierre,Notapierre,Unofi,Bureaux,,"3,63%","4,00%","365,00 €","335,80 €","8,00%","371,16 €",10,"3 650,00 €",5 mois,11%,Non,"90,88%",NA,NA,NA,120 630,39 739,Mauvais,Non,"2,77 milliards €",🇫🇷 France,1995,"8,71%",https://www.unofi.fr/nos-solutions/immobilier/scpi-notapierre,Trimestriel,FALSE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fdiversifie23.jpg?alt=media&token=83ced10d-f529-4999-aeab-f61b83c48c48,No,Oui
Novapierre 1,Novapierre 1,Paref Gestion,Commerces,,"4,80%","3,70%","440,00 €","404,80 €","8,00%","478,63 €",5,"2 200,00 €",1 mois,"9,60%",Non,"90,30%",NA,NA,NA,1 423,4 428,Mauvais,Non,"184,3 millions €",🇫🇷 France,1999,"27,42%",https://paref-gestion.com/scpi/scpi-commerce-novapierre-1/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce05.jpg?alt=media&token=17721e24-adb1-415c-bd13-a588495e5452,Yes,Oui
Novapierre Allemagne,Novapierre Allemagne,Paref Gestion,Commerces,,"4,84%","4,51%","280,00 €","252,00 €","10,00%","309,52 €",30,"8 400,00 €",4 mois,12%,Non,"97,20%",NA,NA,NA,8 228,8 228,Illiquide,Non,560 millions €,🇩🇪 Allemagne,2014,"23,26%",https://paref-gestion.com/scpi/scpi-novapierre-allemagne/,Trimestriel,FAUX,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce04.jpg?alt=media&token=1c0137f8-acd7-4347-980b-408b5f2f4ab8,Yes,Oui
Novapierre Allemagne 2,Novapierre Allemagne 2,Paref Gestion,Commerces,,"3,39%","1,61%","260,00 €","234,00 €","10,00%","288,03 €",10,"2 600,00 €",5 mois,"13,20%",Non,"98,20%",NA,NA,NA,114 827,567,Très bon,Non,307 millions €,🇩🇪 Allemagne,2019,"36,40%",https://paref-gestion.com/scpi/scpi-novapierre-allemagne-2/,Trimestriel,TRUE,,https://firebasestorage.googleapis.com/v0/b/louvcap-eea66.appspot.com/o/public%2FscpiPictures%2Fcommerce03.jpg?alt=media&token=f6174b34-73fd-40f4-8173-3a6b3ff12ace,Yes,Oui
